algorithm,array_type,n,time_us,char_cmps
StrQuickSort,random,2300,1535.38,29657
StrMergeSort,random,2300,10193.52,25492
MsdRadix,random,2300,1935.52,0
MsdRadixQuick,random,2300,1319.52,9644
StdQuickSort,reverse,2300,1599.26,32733
StdMergeSort,reverse,2300,7447.28,19303
StrQuickSort,reverse,2300,1011.08,21252
StrMergeSort,reverse,2300,10136.84,15291
MsdRadix,reverse,2300,2052.28,0
MsdRadixQuick,reverse,2300,1216.90,8484
StdQuickSort,almost,2300,1017.38,33949
StdMergeSort,almost,2300,7302.00,27343
StrQuickSort,almost,2300,1218.00,21493
StrMergeSort,almost,2300,9624.94,22094
MsdRadix,almost,2300,1821.56,0
MsdRadixQuick,almost,2300,1185.04,8719
StdQuickSort,prefix,2300,8062.32,372845
StdMergeSort,prefix,2300,12714.26,305524
StrQuickSort,prefix,2300,1697.52,54663
StrMergeSort,prefix,2300,14807.80,52718
MsdRadix,prefix,2300,4784.72,0
MsdRadixQuick,prefix,2300,4412.62,9880
StdQuickSort,random,2400,1561.22,41278
StdMergeSort,random,2400,10018.46,34034
StrQuickSort,random,2400,1647.94,29752
StrMergeSort,random,2400,12457.62,26776
MsdRadix,random,2400,2436.06,0
MsdRadixQuick,random,2400,1800.94,10215
StdQuickSort,reverse,2400,1639.10,34080
StdMergeSort,reverse,2400,9767.68,20091
StrQuickSort,reverse,2400,1690.04,22323
StrMergeSort,reverse,2400,12689.76,15937
MsdRadix,reverse,2400,2124.10,0
MsdRadixQuick,reverse,2400,1434.18,8857
StdQuickSort,almost,2400,1605.52,36154
StdMergeSort,almost,2400,9176.12,29075
StrQuickSort,almost,2400,1452.68,22416
StrMergeSort,almost,2400,12365.46,23367
MsdRadix,almost,2400,1854.22,0
MsdRadixQuick,almost,2400,1948.16,9125
StdQuickSort,prefix,2400,9836.54,407308
StdMergeSort,prefix,2400,16482.04,321386
StrQuickSort,prefix,2400,1929.50,55792
StrMergeSort,prefix,2400,19293.30,55206
MsdRadix,prefix,2400,6488.68,0
MsdRadixQuick,prefix,2400,5501.82,10533
StdQuickSort,random,2500,1638.38,42837
StdMergeSort,random,2500,9279.74,35684
StrQuickSort,random,2500,1588.08,26114
StrMergeSort,random,2500,11236.12,28019
MsdRadix,random,2500,2013.52,0
MsdRadixQuick,random,2500,1415.82,10887
StdQuickSort,reverse,2500,1363.98,35935
StdMergeSort,reverse,2500,7811.26,21025
StrQuickSort,reverse,2500,1123.36,23263
StrMergeSort,reverse,2500,11230.78,16668
MsdRadix,reverse,2500,2026.32,0
MsdRadixQuick,reverse,2500,1277.08,9242
StdQuickSort,almost,2500,1181.74,38424
StdMergeSort,almost,2500,8008.28,29932
StrQuickSort,almost,2500,1120.80,23369
StrMergeSort,almost,2500,11063.94,23958
MsdRadix,almost,2500,1909.04,0
MsdRadixQuick,almost,2500,1619.24,9520
StdQuickSort,prefix,2500,9841.56,415215
StdMergeSort,prefix,2500,19223.10,336407
StrQuickSort,prefix,2500,2376.42,58245
StrMergeSort,prefix,2500,17375.94,57607
MsdRadix,prefix,2500,8666.46,0
MsdRadixQuick,prefix,2500,6899.08,11023
StdQuickSort,random,2600,2194.42,46003
StdMergeSort,random,2600,11147.94,37489
StrQuickSort,random,2600,1824.12,32448
StrMergeSort,random,2600,12209.30,29335
MsdRadix,random,2600,2046.66,0
MsdRadixQuick,random,2600,1634.80,11679
StdQuickSort,reverse,2600,1438.36,37640
StdMergeSort,reverse,2600,8095.62,22048
StrQuickSort,reverse,2600,1348.36,24409
StrMergeSort,reverse,2600,11859.88,17398
MsdRadix,reverse,2600,2115.82,0
MsdRadixQuick,reverse,2600,1358.72,9611
StdQuickSort,almost,2600,1248.44,40472
StdMergeSort,almost,2600,8112.28,31285
StrQuickSort,almost,2600,1164.02,24414
StrMergeSort,almost,2600,10909.38,25078
MsdRadix,almost,2600,1823.80,0
MsdRadixQuick,almost,2600,1342.10,9908
StdQuickSort,prefix,2600,10603.54,465459
StdMergeSort,prefix,2600,19711.30,352557
StrQuickSort,prefix,2600,2153.02,61315
StrMergeSort,prefix,2600,18035.06,60130
MsdRadix,prefix,2600,5755.58,0
MsdRadixQuick,prefix,2600,5317.92,11571
StdQuickSort,random,2700,2069.64,48303
StdMergeSort,random,2700,9026.16,39204
StrQuickSort,random,2700,1646.42,31342
StrMergeSort,random,2700,11697.14,30616
MsdRadix,random,2700,2098.74,0
MsdRadixQuick,random,2700,1579.68,12032
StdQuickSort,reverse,2700,1429.16,39174
StdMergeSort,reverse,2700,8748.16,22911
StrQuickSort,reverse,2700,1925.50,25558
StrMergeSort,reverse,2700,12040.12,18097
MsdRadix,reverse,2700,2246.80,0
MsdRadixQuick,reverse,2700,1809.66,9973
StdQuickSort,almost,2700,1669.26,42177
StdMergeSort,almost,2700,11436.44,32664
StrQuickSort,almost,2700,1469.18,25874
StrMergeSort,almost,2700,15292.44,26100
MsdRadix,almost,2700,2441.48,0
MsdRadixQuick,almost,2700,1703.14,10257
StdQuickSort,prefix,2700,12936.62,556544
StdMergeSort,prefix,2700,17754.86,367546
StrQuickSort,prefix,2700,2006.08,63551
StrMergeSort,prefix,2700,19813.62,62552
MsdRadix,prefix,2700,6147.90,0
